htid,author,title,year,authgender,female_category,clubs
uc2.ark:/13960/t0cv4d948,"Deeping, Warwick,",A woman's war;,1907,m,high_female,5.921598041924915
nyp.33433074928981,"Bennett, Arnold,",The ghost,1907,m,mixed,5.918327086210298
uc2.ark:/13960/t8rb6zm3n,"Streeter, Edward.","""Thats me all over, Mable,""",1919,m,high_male,5.917860101787194
mdp.39015009309934,"Thomas, Dylan,",The death of the king's canary / | $c: [by] Dylan Thomas and John Davenport ; with an introduction by Constantine FitzGibbon.,1976,m,,5.913310862752055
uiuo.ark:/13960/t4cn7r52t,"Savile, Charles Stuart,","Leonard Normandale; or, The three brothers",1850,m,high_male,5.9100490534071435
dul1.ark:/13960/t6737gw6n,"Vaughan, Herbert M.",Meleager,1916,m,high_male,5.909816204716034
umn.31951002090141p,"Ward-Jackson, C. H.",No bombs at all : | some short stories of the Royal air force / | $c: with wood engravings by Biro.,1944,u,,5.90946696607966
mdp.39015060123380,"Barry, Desmond,",Cressida's bed / | $c: Desmond Barry,2004,m,,5.908535864812699
uc1.b2806594,"Grayland, Valerie.",Night of the reaper.,1963,f,,5.90615125653368
uiuo.ark:/13960/t45q5688h,"Baring-Gould, S.",Court Royal,1886,m,,5.903100603592037
