htid,author,title,year,authgender,female_category,england_as_such_intensity
mdp.39015064983516,"Lively, Penelope,",Consequences / | $c: Penelope Lively.,2007,f,high_female,4.432231185178619
uc1.$b391311,"Fullerton, Alexander,",The publisher.,1970,m,mixed,4.431602644780458
uiuo.ark:/13960/t8z89tt9w,"Pickering, Ellen,",Who shall be heir?,1840,f,high_female,4.431183716876902
inu.39000003355935,"Cross, John Keir,",The other passenger : | 18 strange stories / | $c: by John Keir Cross ; with 8 colour plates by Bruce Angrave.,1944,m,,4.4310920869557515
uiuo.ark:/13960/t3xs6df1g,"Colmore, G.",A daughter of music,1894,u,high_female,4.42526828188959
uiuo.ark:/13960/t1fj34h04,"Woodgate, Walter Bradford,","The O.V.H., or, How Mr. Blake became an M.F.H",1869,m,high_male,4.424582983053847
njp.32101066459718,"Gore,",Hungarian tales,1829,f,,4.4240609930542245
uiuo.ark:/13960/t0sq96369,"Cockton, Henry,",Stanley Thorn,1841,m,,4.423734811843813
mdp.39015032971148,"Coyne, Kevin,",Show business / | $c: Kevin Coyne.,1993,m,mixed,4.422137218917903
uc1.$b119984,"Scholefield, Alan.",A view of vultures / | $c: Alan Scholefield.,1966,m,high_male,4.421491988256517
mdp.39015000613615,"Middleton, Stanley,",Blind understanding / | $c: Stanley Middleton.,1982,m,,4.421387726227672
uc1.b3407022,"Household, Geoffrey,",The Spanish cave.,1960,m,high_male,4.421061939077767
mdp.39015000604796,"Gissing, George,",Eve's ransom.,1929,m,mixed,4.4204756431792065
mdp.39015070757193,,Dinaane : | short stories by South African women / | $c: edited by Maggie Davey.,2007,u,high_female,4.419205868705394
uc1.b3435560,"Smith, Wilbur A.",Shout at the devil | $c: [by] Wilbur Smith.,1968,m,high_male,4.416896099880744
mdp.39015042984644,"Meredith, Christopher,",Sidereal time / | $c: Christopher Meredith.,1998,m,mixed,4.416180886769122
uc2.ark:/13960/t6qz2cw12,"Strindberg, August,",The confession of a fool,1912,m,high_female,4.415283946910626
mdp.39015060118844,"Trigell, Jonathan.",Boy A / | $c: Jonathan Trigell.,2004,m,high_male,4.41393922005694
mdp.39015061183920,"Freddi, Cris.",Pelican blood / | $c: Cris Freddi.,2005,m,,4.411651170741929
mdp.39015061328228,"Jones, Marged.",Shame / | $c: Marged Lloyd Jones.,2004,u,,4.4109862965359055
mdp.39015019055469,"O'Faoláin, Seán,",The collected stories of Sean O'Faolain.,1980,m,,4.410510737143361
mdp.39015053483775,"Belben, Rosalind.",Hound music / | $c: Rosalind Belben.,2001,f,high_female,4.408471318485602
mdp.39015065928726,"Kovalevskai︠a︡, S. V.",Sonya Kovalevsky,1895,f,high_female,4.408276980859261
uc1.b3739526,"Seeber, Gerd Christian,",Patriots / | $c: Gerd Christian Seeber.,1985,m,,4.40771349862259
uc1.b4974561,"Potter, Dennis.",Blackeyes / | $c: Dennis Potter.,1987,m,,4.406904149834741
uiuo.ark:/13960/t8pc3d46s,,Hardenbrass and Haverill;,1817,m,,4.4065287129410935
mdp.39015056798112,"Khan, Uzma Aslam.",Trespassing / | $c: Uzma Aslam Khan.,2003,u,high_female,4.406030386922902
uiuo.ark:/13960/t1vd7d824,"Oliphant,",Carità,1877,f,,4.405998031987545
uiuo.ark:/13960/t0qr5g32w,"Thompson, Harriet Diana Calvert.",The Wyndham family: a story of modern life,1876,f,high_female,4.404898246850498
inu.30000087913871,,Shakespeare in Havana / [Virgil Suarez ... et al.],2001,u,,4.401602183194683
