htid,author,title,year,authgender,female_category,farm
mdp.39015053602143,"Troyat, Henri,",The web / | $c: Henri Troyat ; translated from the French by Anthea Bell.,1984,m,mixed,0.0
mdp.39015052546952,,The golden cage : | Urdu short stories by Asian women in Britain / | $c: foreword by Ranjana Sidhanta Ash ; translated and compiled by Safia Siddiqi.,2002,u,,0.0
mdp.39015059168438,"Davey, Janet,",First aid / | $c: Janet Davey.,2004,f,high_female,0.0
wu.89086054004,"Sheppard, Elizabeth Sara,",Charles Auchester,1853,f,,0.0
mdp.39015059435233,"Sell, Frank Reginald.",Bhim Singh; | a romance of Mughal times.,1928,m,,0.0
dul1.ark:/13960/t7vm4xm9s,"Irvine, Leigh H.",An affair in the South Seas,1901,u,high_male,0.0
mdp.39015059975717,"Wilkins, Christopher,",The poison arrow frog / | $c: Christopher Wilkins.,2002,m,,0.0
mdp.39015059970981,"Namjoshi, Suniti,",The mothers of Maya Diip / | $c: Suniti Namjoshi.,1989,u,high_female,0.0
mdp.39015059961089,"Morrall, Clare.",Astonishing splashes of colour / | $c: Clare Morrall.,2003,f,high_female,0.0
mdp.39015059879810,"Jones, William Tudor,","Nature, thought, & personal experience, | $c: by W. Tudor Jones ...",1926,m,,0.0
wu.89016705428,"Rey Rosa, Rodrigo,",The beggar's knife / | $c: Rodrigo Rey Rosa ; translated from the Spanish by Paul Bowles.,1988,m,high_male,0.0
wu.89016963142,"Elsbree, Elizabeth Sellers,",Across the Isthmus of Panama.,1937,f,high_male,0.0
mdp.39015059706104,"(Gopal Das), Khosla, G. D.",Grim fairy tales and other facts and fancies / | $c: G.D. Khosla.,1966,u,,0.0
mdp.39015051280942,"Hornby, Nick.",How to be good / | $c: Nick Hornby.,2001,m,,0.0
wu.89017654567,"Jewsbury, Geraldine Endsor,",Constance Herbert,1855,f,mixed,0.0
mdp.39015059551708,"Matthews, Beryl.",A change of fortune / | $c: Beryl Matthews.,2004,f,high_female,0.0
mdp.39015059465396,"Gorky, Maksim,",The man who was afraid (Foma Gordyéeff),1905,m,high_female,0.0
wu.89018185587,"Detmers, Theodor.",The raider Kormoran.,1959,m,high_male,0.0
wu.89040876070,"Rigaudis, Marc.",Ito-san : | stories / | $c: Marc Rigaudis ; translated from the French and with an introduction by James Kirkup.,1991,m,mixed,0.0
wu.89030493787,,"Ruwenzori expedition, 1934-5 ...",1939,u,high_male,0.0
mdp.39015059427495,"Williamson, A. M.",What I found out in the house of a German prince,1915,f,,0.0
mdp.39015059423296,"Street, George Slythe,",The autobiography of a boy;,1894,m,high_male,0.0
mdp.39015051324146,"Baron, Alexander,",The in-between time.,1971,m,high_male,0.0
mdp.39015051324294,"Barstow, Stan,",B-movie / | $c: Stan Barstow.,1987,m,high_female,0.0
wu.89034961391,"Bernhard, Thomas.",The cheap-eaters / | $c: by Thomas Bernhard ; translated from the German by Ewald Osers.,1990,m,high_male,0.0
mdp.39015059421993,"[Jameson, Annie Edith Foster]","The of Mr. Tubbs,ba story of a knight without armour",1918,f,,0.0
wu.89035590355,"Carling, Finn,",Under the evening sky / | $c: Finn Carling ; translated from the Norwegian and with a foreword by Louis A. Muinzer.,1990,u,high_male,0.0
dul1.ark:/13960/t6pz5zn09,"Morgan,",Florence Macarthy,1818,f,mixed,0.0
wu.89038451712,"Mason, Gertrude.","New life for old clothes, | $c: by Gertrude Mason...With 190 drawings by Kathleen Mann.",1943,f,high_male,0.0
mdp.39015051332560,"Bargate, Verity.",Tit for tat / | $c: Verity Bargate.,1981,u,,0.0
