htid,author,title,year,authgender,female_category,vertical
uc1.b5302290,"Pickthall, Marmaduke William,",Saïd the fisherman,1903,m,high_male,259.3257530420906
uc1.$b444706,"Hostovský, Egon,","Three nights. | $c: Translated from the Czech by Philip H. Smith, Jnr.",1964,u,,259.3148628360857
uiuo.ark:/13960/t7hq4md5c,"Wilton, Maurice.",The old love is the new,1880,m,,259.2965437295995
uiuo.ark:/13960/t6h13np7s,"Smart, Hawley,",Tie and trick,1885,m,high_male,259.2957527355702
uiuo.ark:/13960/t9k364j34,"Eliot, George,",The mill on the Floss,1899,f,,259.2793716108209
mdp.39015029072165,"Lemsine, Aïcha.",The chrysalis / | $c: Aïcha Lemsine ; translated by Dorothy S. Blair.,1993,u,high_female,259.2369194440523
uc2.ark:/13960/t73t9gj85,"Ellwood, Thomas,",The History of Thomas Ellwood,1886,m,high_male,259.20286401729567
mdp.39015016904701,"Fraenkel, Michael,",The genesis of the Tropic of cancer / | $c: [by] Michael Fraenkel.,1973,m,high_male,259.1858515017533
mdp.39015048892288,"Lerner, Laurence.",My grandfather's grandfather / | $c: Laurence Lerner.,1985,m,mixed,259.1834122616153
uc2.ark:/13960/t8nc5wf3m,"Maeterlinck, Maurice,",Three plays. with introd. by H. Granville Barker,1911,m,high_female,259.16908819602605
njp.32101068971058,"Kavanagh, Julia,","Seven years, and other tales",1860,f,,259.14466554632406
nyp.33433074898986,"Manning, Anne,",Helen and Olga,1857,f,high_female,259.14159347162524
uiuo.ark:/13960/t7wm1m15p,"Besant, Walter",With harp and crown,1875,m,mixed,259.1177042171406
njp.32101066111103,"Bremer, Fredrika,",New sketches of every-day life,1844,f,,259.1147093292047
inu.30000112141910,"Simms, William Gilmore,",The damsel of Darien,1843,m,high_male,259.1105326645927
uc2.ark:/13960/t5db7z21z,"Zangwill, Israel,",The premier and the painter,1893,m,,259.0910875282972
mdp.39015037803718,Pepetela.,Yaka / | $c: Pepetela ; translated from the Portuguese by Marga Holness.,1996,u,,259.06195956410915
njp.32101062932932,"Wedgwood, Julia,",Framleigh Hall,1858,f,,259.0437510576535
njp.32101068166832,"Curling, Henry,","The self-divorced, or, The school for wives",1861,m,high_male,259.03657406307184
