htid,author,title,year,authgender,female_category,geo_range
uiuo.ark:/13960/t8z89xh0r,"Collins, Wilkie,",Basil,1852,m,,3297.059399315091
mdp.39015031938411,"Richardson, John,",Wacousta;,1832,m,high_male,3281.944229114469
uc1.b3321271,"Bury, Charlotte Campbell,",The divorced,1837,f,high_female,3279.756047650069
uc1.$b85961,"Benson, Stella,",The man who missed the bus; | $c: a story by Stella Benson.,1928,f,high_male,3265.897997007619
njp.32101064918087,"Saunders, John,",A noble wife;,1883,m,high_female,3259.647031346273
mdp.39015060095307,"Jelinek, Elfriede,",Lust / | $c: Elfriede Jelinek ; translated by Michael Hulse.,1992,f,high_male,3232.111417905987
uiuo.ark:/13960/t4th9621s,"James, G. P. R.",Leonora d'Orco,1857,m,,3211.6369771003515
uc1.b3158833,"Prou, Suzanne.",The Bernardinis' Terrace,1975,f,high_female,3203.1461053968465
nyp.33433082289871,"A. L. O. E.,","The giant killer, or, The battle which all must fight",1861,f,high_female,3182.1823971106473
mdp.39015063992336,"Cuthbertson,",Romance of the Pyrenees,1822,u,high_female,3170.2779344136343
njp.32101013133523,"Roche, Regina Maria,",The monastery of St. Columb;,1813,f,high_female,3164.3753429358435
uiuo.ark:/13960/t44q86m8t,"Christie, Mary Elizabeth,",Lady Laura,1880,f,high_female,3162.4987467693845
mdp.39015065801287,"Dorat, Claude Joseph,","Chevalier de Versenai, a novel",1810,f,high_male,3161.4169864666346
uc2.ark:/13960/t16m3bj9x,"Weyman, Stanley John,",A gentleman of France,1893,m,high_male,3150.757959400901
uiuo.ark:/13960/t3ws90t6p,"Cresswell, Henry.",A wily widow,1888,m,high_female,3149.5474887965825
uc2.ark:/13960/t3xs5xp5c,"Pearse, Mark Guy,",Gold and incense,1895,m,high_female,3131.408651129443
uc2.ark:/13960/t6qz24g09,"Scott, G. Firth.",The rider of Waroona,1912,m,mixed,3122.171643018766
mdp.39015066665996,"Peyre, Marc.","The captive of Zour; | $c: [translated by Claude], with a preface by Lawrence Durrell.",1966,m,high_male,3100.63350727962
umn.31951001697946m,"Bartlett, Vernon.","Mud and khaki, sketches from Flanders and France",1917,m,high_male,3100.196826165428
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,3097.7690892951987
uc1.b3331992,"Paterson, Arthur,",The daughter of the Nez Percés,1894,m,mixed,3087.827285910702
uiuo.ark:/13960/t6931c01p,"Macquoid, Katharine S.",At the red glove,1885,f,high_female,3083.815528737
uiuo.ark:/13960/t8qc0k82w,"Craik, Georgiana M.",Sydney,1881,f,high_female,3070.303503600209
uiuo.ark:/13960/t50g4495m,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,3067.5410481745616
uiuo.ark:/13960/t0ht34k80,"Johnston, Henry.",The Dawsons of Glenara,1877,m,,3057.3169570067857
inu.32000000356511,"Greene, Graham,","Rumour at nightfall, | $c: by Graham Greene.",1931,m,high_male,3044.7675179774487
