htid,author,title,year,authgender,female_category,urban_metric_gb
mdp.39015001570319,"Aidoo, Ama Ata,",No sweetness here / | $c: Ama Ata Aidoo.,1970,f,,-0.4158791884306365
nyp.33433074943717,"Austen, Jane,",The novels of Jane Austen,1892,f,high_female,-0.41588354329610877
nyp.33433075772578,"Williamson, William Henry.",The prince's marriage,1908,m,mixed,-0.4159232746689575
uc1.32106005849879,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,mixed,-0.41599695670276615
njp.32101068971306,"Kennedy, Grace,",Philip Colville,1825,f,,-0.4159999826902039
njp.32101037077326,"Fenn, George Manville,",The master of the ceremonies,1886,m,high_female,-0.4160191346243746
uiuo.ark:/13960/t03x8j28f,"Boyle, Frederick,",The golden prime,1882,m,mixed,-0.4161087399933814
inu.30000003141797,"Lamport, F. J. (Francis John)",The Penguin book of German stories / | $c: edited by F. J. Lamport.,1974,m,,-0.41612719479836063
mdp.39015020723790,"Greene, Graham,",The collected edition.,1970,m,,-0.4161695700765993
uiuo.ark:/13960/t16m3mq7h,"Gascoigne, Caroline Leigh Smith,",Evelyn Harcourt,1847,f,high_female,-0.4162083789565804
nyp.33433081563516,,The British novelists;,1810,f,,-0.4162958885617081
mdp.39015064544847,"Hofland,",Tales of the Priory,1820,f,high_female,-0.41638323242429987
inu.30000110600156,"Hayden, Torey L.",The sunflower forest : | a novel / | $c: Torey Hayden.,2008,u,,-0.4164870033548449
inu.39000005842724,"Brooksbank, Frank Henry.","Legends of ancient Egypt; | stories of Egyptian gods and heroes, by F.H. Brooksbank, B.A. Illustrated by Evelyn Paul.",1923,m,high_female,-0.4165023318842436
mdp.39015037392050,"Cable, George Washington,",Madame Delphine,1907,m,,-0.4166051796606647
njp.32101068142163,"Linton, E. Lynn","Paston Carew, millionaire and miser;",1886,f,,-0.4172211349695245
mdp.39015030760410,"Lytton, Edward Bulwer Lytton,",[Novels],1890,m,,-0.41722706288784006
uiuo.ark:/13960/t2d80156c,"Chamier, Frederick,",Passion and principle,1842,m,high_female,-0.41723099633935234
mdp.39015032752019,"Stroud, Mike.",Shadows on the wasteland / | $c: Mike Stroud.,1993,m,mixed,-0.4172806877482039
mdp.39015055116340,"De Bernières, Louis.",The war of Don Emmanuel's nether parts / | $c: Louis de Bernières.,1991,m,,-0.41728462585346116
njp.32101065704403,"Reade, John Edmund,",The light of other days,1858,m,high_female,-0.41731008073340436
nyp.33433074864624,"Glyn, Elinor,",The contrast,1913,f,high_female,-0.4174031684785848
yale.39002031044390,"Harbord, Maurice Assheton,",Froth and bubble,1915,m,high_male,-0.4175531386167291
uiuo.ark:/13960/t0zp4jn7d,"Macleod, Norman,",The starling,1867,m,mixed,-0.4175694555236654
uc2.ark:/13960/t9086446n,"Harris, Joel Chandler,","Mingo, and other sketches in black and white",1884,m,,-0.41761314667152055
mdp.39015002303652,,"A Reader in library management / | $c: edited by Ross Shimmon ; and with linking commentaries by John Allred, K. H. Jones, Peter Jordan.",1976,u,,-0.4178234117472382
uiuo.ark:/13960/t6m04rh68,"Steinman, Emma C. C.",Our little gipsy,1881,f,,-0.4179026541032203
yul.12249800_002_00,"Proust, Marcel,","Within a budding grove | $c: by Marcel Proust, translated by C. K. Scott Moncrieff.",1924,m,,-0.41790955245212963
yul.12249800_002_00,"Proust, Marcel,","Within a budding grove | $c: by Marcel Proust, translated by C. K. Scott Moncrieff.",1924,m,,-0.41790955245212963
nyp.33433068179898,"Lang, Andrew,",The book of dreams and ghosts,1899,m,mixed,-0.4180224956665492
uiuo.ark:/13960/t0rr2dm3f,"Neale, Erskine,","Whychcotte of St. John's, or, The court, the camp, the quarter-deck, and the cloister",1833,m,mixed,-0.4180661754662154
uc2.ark:/13960/t8cf9m31k,"Henningsen, C. F.",The white slave;,1845,u,high_male,-0.4180836561526995
uc2.ark:/13960/t5t72927s,"O'Donovan, Gerald,",Father Ralph,1913,m,,-0.41808785418921746
uiuo.ark:/13960/t2j681c6n,"Alexander,",Found wanting,1893,f,mixed,-0.4181075635722333
mdp.39015065908017,"Green, Henry,",Nothing; | a novel.,1951,m,high_female,-0.4181779426753043
inu.39000002156706,"Benson, Arthur Christopher,",The hill of trouble and other stories,1903,m,high_male,-0.4181917072349035
uiuo.ark:/13960/t7xk9038k,"Wingfield, Lewis,",Barbara Philpot,1885,m,mixed,-0.4182163569831974
mdp.39015067207459,"Snowden, Keighley,",Tales of the Yorkshire wolds,1893,u,mixed,-0.4183344760619661
mdp.39015027233876,"Mofolo, Thomas,",Chaka / | $c: Thomas Mofolo ; new English translation by Daniel P. Kunene.,1981,m,high_male,-0.4183372749119221
wu.89007333057,"Kincaid, C. A.",An anthology of Indian tales,1922,u,mixed,-0.4184041921843596
wu.89004395323,"Gaboriau, Emile,",The slaves of Paris,1884,m,,-0.41843370364261323
mdp.39015084096372,"Kapo, Remi.",Reap the forgotten harvest / | $c: Remi Kapo.,2009,u,high_male,-0.41873793525154457
uc2.ark:/13960/t6g15x71t,"Patterson, Arthur H.",Man and nature on tidal waters,1909,m,high_male,-0.41874968289077275
uiuo.ark:/13960/t9t15j031,"Manning, Anne,",Meadowleigh: a tale of English country life,1863,f,high_female,-0.4189500803664749
uiuo.ark:/13960/t88g9979x,"Lee, Holme,",Sylvan Holt's daughter,1858,f,high_female,-0.4189947543535209
nnc1.1002317656,"Bray,",The protestant;,1828,f,,-0.4190119110354503
uiuo.ark:/13960/t5x643n97,"Poynter, E. Frances","The wooing of Catherine, and other tales",1886,f,,-0.41928350597106984
uiuo.ark:/13960/t6737f83q,"Warburton, Eliot,",Reginald Hastings,1850,m,,-0.4194731894644541
uc2.ark:/13960/t52f7p114,"Corner,",The brothers Basset,1855,f,mixed,-0.41947673989536216
uc1.$b728512,"Haliburton, Thomas Chandler,",The old judge;,1849,m,,-0.4194833058444358
mdp.39015063938883,"MacArthur, Henry,",Realism and romance,1897,m,high_male,-0.4195113408108546
pst.000063470451,"Frisch, Max,",I'm not Stiller. | $c: Translated from the German by Michael Bullock.,1958,m,,-0.4195586134724739
uc2.ark:/13960/t8hd7sb5v,"Hope, Thomas,",Anastasius,1819,m,,-0.4196985401362629
mdp.39015063617073,"Edgeworth, Maria,",Patronage,1814,f,,-0.41974848221611977
uc2.ark:/13960/t9m32q75w,"Swan, Annie S.,",Wyndham's daughter,1898,f,high_female,-0.419943460360707
njp.32101068167145,Dalton.,"Chartley, the fatalist",1831,u,,-0.4199926446523274
mdp.39015062006625,"Sherwood, Mary Martha,",The Fairchild family,1902,f,high_female,-0.4200608072314112
