htid,author,title,year,authgender,female_category,gb_subcity_intensity
uc1.b4107899,"Holcroft, Thomas,",Memoirs of Bryan Perdue,1805,m,,2.1441283046377495
mdp.39015019958241,Baitāl-Pachīsī.,Vikram and the vampire;,1893,u,,2.1441283046377495
uc1.b3581533,"Ward, Catherine G.,","The fisher's daughter, or, The wanderings of Wolf and the fortunes of Alfred",1824,f,mixed,2.1406095028791197
mdp.39015073678107,"Donald, Elsie Burch.",A model American / | $c: Elsie Burch Donald.,2007,f,mixed,2.139586631862724
mdp.39015014539822,"Masefield, John,","New chum, | $c: by John Masefield.",1947,m,high_male,2.137711366211334
uc1.b4948940,"McGinley, Patrick,",Goosefoot / | $c: Patrick McGinley.,1982,m,mixed,2.1374143698368084
mdp.39015032494521,"Vassalli, Sebastiano.",The chimera / | $c: Sebastiano Vassalli ; translated from the Italian by Patrick Creagh.,1993,u,high_female,2.1370413375029385
uiuo.ark:/13960/t4th95b5w,"Gascoigne, Gwendolen Trench,", A step aside,1893,f,,2.1369804466289133
uiuo.ark:/13960/t0ns1fr1q,"Croffts,",Ankerwick Castle,1800,f,mixed,2.1340617597473273
uc1.$b123034,"Faz̤lī, Faz̤l Aḥmad Karīm.",The Jamadar / | $c: by Karim Fazli ; translated from the Urdu by Rafiq Khawar.,1961,u,high_male,2.133174056337127
mdp.39015063590437,"DÁuvergne, Edmund Basil Francis.",The bride of two kings,1910,m,,2.132901065384082
uc1.b2850777,,The Penguin book of American short stories / | $c: edited by James Cochrane.,1969,u,,2.132821456183849
pst.000005604562,"Corderoy, Eileen.",The Pegasus book of dressmaking and fashion / | $c: illustrated by Nanda van Essen.,1967,f,mixed,2.132150700411505
mdp.39015057024716,"Shah, Saira.",The storyteller's daughter / | $c: Saira Shah.,2002,u,,2.1315825934965416
uc1.$b283004,"Dearden, Harold,",Medicine & duty : | a war diary / | $c: by Harold Dearden.,1928,m,,2.130651553244982
uiuo.ark:/13960/t9m33b51w,"Johnston, Henry.",The Dawsons of Glenara,1877,m,,2.130379207498935
uc1.32106011439327,"Ekman, Kerstin,",The spring / | $c: Kerstin Ekman ; translated from the Swedish by Linda Schenck,2001,f,high_female,2.1298196042795174
mdp.39015063946639,"Quiller-Couch, Arthur,","Nicky-Nan, reservist",1915,m,mixed,2.1295625878444566
uc1.b3752240,"Simenon, Georges,",The door; | $c: translated from the French by Daphne Woodward.,1964,m,high_male,2.1287465940054497
mdp.39015060028241,"Binebine, Mahi.",Welcome to paradise / | $c: Mahi Binebine ; translated by Lulu Norman.,1999,u,,2.127976507139361
uiuo.ark:/13960/t3nw03q42,"Stanhope, Louisa Sidney.",The bandit's bride;,1807,f,,2.127840667290833
uc2.ark:/13960/t5m904841,"Stredder, Eleanor.",Alive in the jungle,1892,f,mixed,2.1275237750781866
inu.32000007536644,"Bowen, Elizabeth,",The hotel.,1960,f,high_female,2.126845038070526
mdp.39015020827344,"Bowen, Elizabeth,",The hotel.,1950,f,high_female,2.1260311250956714
mdp.39015078812941,"Jones, Susanna,",The missing person's guide to love : | a novel / | $c: Susanna Jones.,2008,f,high_female,2.1257825537025816
nyp.33433074851191,"Hall, Thomas,","Floss; or, The progress of an adventurer in the regions of Australia",1852,m,high_male,2.1257147715919475
uc2.ark:/13960/t5gb29x4g,"Merriman, Henry Seton,",Suspense,1890,m,,2.1252630012964104
uiuo.ark:/13960/t0gt67j4p,"Parker, Emma.",Aretas,1823,f,,2.124675986911996
njp.32101068163656,,"Frascati's, or, Scenes in Paris",1830,m,mixed,2.1239088418325087
