htid,author,title,year,authgender,female_category,transit
mdp.39015032876420,"Noël, Bernard,",The castle of communion / | $c: Bernard Noël ; translated by Paul Buck & Glenda George.,1993,m,high_female,2.2411474675033616
uiuo.ark:/13960/t8cg0048w,"Baxter, Francis Willoughby,","Percy Lockhart, or, The hidden will",1872,m,high_male,2.241097241209296
uiuo.ark:/13960/t5n87vj1g,"Power, Marguerite A.,",Nelly Carew,1859,f,,2.240293926563165
uc2.ark:/13960/t4nk3bw12,"Ouida,",Wanda,1883,f,,2.2365360529611737
inu.39000003449100,"Innes, Michael,",A night of errors / | $c: by Michael Innes [i.e. J. I. M. Stewart].,1974,m,,2.2357859905649833
uc2.ark:/13960/t2z31qk2q,"Bridges, Roy,",The black house,1920,m,high_male,2.2353611784824134
uc1.b4095359,"Forester, C. S. (Cecil Scott),",The earthly paradise.,1960,m,high_male,2.2351113644237324
inu.30000110565490,"Defoe, Gideon.",The pirates! in an adventure with Napoleon / | $c: Gideon Defoe.,2008,m,mixed,2.2345869366047686
mdp.39015063524923,"Castle, Agnes,",The star dreamer,1903,f,mixed,2.2342873740420495
mdp.39015005291011,"Briggs, Katharine Mary.","A dictionary of British folk-tales in the English language, | incorporating the F. J. Norton collection | $c: [by] Katharine M. Briggs.",1970,f,,2.2342249752838863
nyp.33433082548359,"Grimm, Albert Ludwig,",Tales from the eastern-land,1847,m,high_male,2.234137622877569
mdp.39015080862736,"Thorpe, Adam,",Hodd / | $c: Adam Thorpe.,2009,m,,2.233272786826668
uc2.ark:/13960/t50g3x155,,Elegant extracts,1810,m,high_male,2.2327159873628277
njp.32101013133515,"Roche, Regina Maria,",The monastery of St. Columb;,1813,f,high_female,2.2314455304146024
uc2.ark:/13960/t2h70b61q,"Golovina, V. N.",Memoirs of Countess Golovine,1910,u,mixed,2.2300273178346437
uiuo.ark:/13960/t6543bw1s,"Smith, Charlotte.",The republican's mistress;,1821,f,high_female,2.229654403567447
uiuo.ark:/13960/t1mg89134,"Wraxall, Lascelles,","Fides, or, The beauty of Mayence",1866,m,,2.2293064627594354
mdp.39015012358670,"Morier, James Justinian,",Abel Allnutt,1837,m,mixed,2.2289834720875543
mdp.39015059414907,"Manhood, H. A. (Harold Alfred),",Nightseed; | tales.,1929,m,mixed,2.227915784783335
uc1.l0079462065,"Sologub, Fydor,",The created legend,1916,u,mixed,2.227618008063977
uc2.ark:/13960/t6vx08n29,"Nevill, Ralph,",The romantic past,1911,m,,2.2257587054987367
njp.32101068605599,"Warner, Susan,",Queechy,1852,f,,2.223877775677449
nyp.33433082306089,"Henty, G. A.",Yarns on the beach,1886,m,high_male,2.2226173541963017
mdp.39015037289199,"Bell, A. Craig.",Alexandre Dumas : | Le Vicomte de Bragelonne (The man in the iron mask) : a critical study / | $c: A. Craig Bell.,1995,m,,2.222197531138543
uc2.ark:/13960/t3dz04s7b,"Somadeva Bhaṭṭa,","The golden town, and other tales from Soma-Deva's ""Ocean of romance-rivers,""",1909,u,high_male,2.222024708914763
uc2.ark:/13960/t89g5j479,"Fenn, George Manville,",The golden magnet,1884,m,high_male,2.221909509032062
uiuo.ark:/13960/t49p3dr9w,,The eve of San-Pietro,1804,u,high_female,2.2215310792197984
uiuo.ark:/13960/t9j399s2p,,"Modern times, or, Anecdotes of the English family",1809,u,,2.2204458655297983
nyp.33433082225594,"Smollett, T.",The works of Tobias Smollett,1895,m,high_male,2.219558751720158
inu.32000001872912,"Church, Alfred John,",A young Macedonian in the army of Alexander the Great,1890,m,,2.218992355571335
mdp.39015054182749,"Redfern, Elizabeth.",The music of the spheres / | $c: Elizabeth Redfern.,2001,f,high_male,2.218413944950058
hvd.hn5cdp,,Moral tales,1831,u,high_male,2.218278615794144
uc1.32106019365680,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,2.218229409285508
