htid,author,title,year,authgender,female_category,urban_generics
uiuo.ark:/13960/t7jq1mf9x,"Payn, James,",A prince of the blood;,1888,m,high_female,16.917293233082706
hvd.32044086801982,,"English life, or Manners at home",1825,u,high_female,16.89817161783095
mdp.39015022430634,"Mikkelsen, Ejnar,",Two against the ice.,1957,u,high_male,16.889609512228077
uiuo.ark:/13960/t6b28861r,"Grey, Elizabeth Caroline.",Mary Seaham. A novel,1852,f,,16.84068710003368
mdp.39015049619086,"Lawrence, D. H. (David Herbert),","Fantasia of the unconscious, | $c: by D. H. Lawrence.",1923,m,high_male,16.81001877118763
mdp.39015009345805,"Heliodorus,",An Ethiopian history,1895,m,high_female,16.780237257963318
uc2.ark:/13960/t6736s49k,"Mathers, Helen,",Eyre's acquittal,1884,f,,16.76767192852181
uiuo.ark:/13960/t7zk60h46,"Trollope, Frank.",Old times revived;,1870,m,mixed,16.745610257882397
uiuo.ark:/13960/t9280ks1g,"Aston, Claude.",They are only cousins,1855,m,high_female,16.73982590581058
nyp.33433074868245,"Hogg, James,",The brownie of Bodsbeck;,1818,m,,16.734721199544815
uiuo.ark:/13960/t50g49m5q,"Wynne, Catherine Simpson.",The story of a kiss,1887,f,,16.729246440388117
njp.32101068167194,"Dallas, Robert Charles,",Percival,1801,m,,16.719612104999165
njp.32101066459015,"Gibbon, Charles,",A heart's problem,1881,m,,16.658337497917707
uiuo.ark:/13960/t89g60k4f,"Curtois, Margaret Anne.",The romance of a country,1893,f,high_male,16.618824595860403
uc2.ark:/13960/t0qr4qh6q,"Brereton, F. S.",With the Dyaks of Borneo,1913,m,high_male,16.600673864390938
mdp.39015070494433,"Richardson, Samuel,",The works of Samuel Richardson,1883,m,high_female,16.52959020018674
nyp.33433082289871,"A. L. O. E.,","The giant killer, or, The battle which all must fight",1861,f,high_female,16.5293809746825
nyp.33433076072648,"Washburn, Stanley,",Two in the wilderness,1914,m,mixed,16.52892561983471
mdp.39015070494391,"Richardson, Samuel,",The works of Samuel Richardson,1883,m,,16.49892756970797
uiuo.ark:/13960/t1dj63c0r,"Walford, Lucy Bethia,",A stiff-necked generation,1889,f,,16.478265168243087
