htid,author,title,year,authgender,female_category,gb_england_intensity
mdp.39015062951481,"Hewlett, S S",None of self and all of thee;,1889,u,high_female,20.451798828669705
mdp.39015000545189,"Perham, Margery,",Major Dane's garden | $c: [by] Margery Perham.,1970,f,,20.450572286176072
dul1.ark:/13960/t7vm4v359,"Linton, E. Lynn",Under which Lord?,1879,f,high_female,20.44885230816421
uc1.b4938151,"Golding, William,",The paper men / | $c: William Golding.,1984,m,,20.44794634458879
hvd.hntfbm,"Sterne, Laurence,","The life and opinions of Tristram Shandy, gentleman",1832,m,,20.43832342860736
inu.30000043479777,"MacKenna, John,",A year of our lives / | $c: John MacKenna.,1995,m,,20.436716920029554
uc2.ark:/13960/t8w956791,"Peterson, Margaret,",Just because,1915,f,high_female,20.43187883895849
mdp.39015047487759,"Murray, Donald S.",Special deliverance / | $c: Donald S. Murray.,1997,m,mixed,20.430400435848547
mdp.39015005086593,"Hope, Anthony,","The prisoner of Zenda; | being the history of three months in the life an English gentleman, | $c: by Anthony Hope [pseud.]",1925,m,,20.42811492273795
mdp.39015050023814,"Dowie, Claire.",The year of the monkey ; | Designs for living ; Sodom / | $c: Claire Dowie.,2001,f,high_female,20.42587958943982
mdp.39015050563579,"Anderson, Vernon F.",Sudden glory / | $c: Vernon F. Anderson.,1987,m,,20.41986381521594
njp.32101007065988,"Brunton, Mary,",Discipline;,1814,f,,20.416817175254817
mdp.39015064872602,"Hope, Christopher.",My mother's lovers / | $c: Christopher Hope.,2006,m,,20.41663547458469
inu.32000010020685,"Wyatt, Horace,",Malice in Kulturland,1914,m,high_female,20.41510717931269
uiuo.ark:/13960/t18k7tg9m,"Loudon,",Stories of a bride;,1829,f,,20.4108410724439
uc1.$b783361,"McFee, William,",No castles in Spain.,1933,m,,20.410736047160807
uiuo.ark:/13960/t2z325q3r,"Dixie, Florence,",Redeemed in blood,1889,f,,20.407122085607877
uc2.ark:/13960/t0dv1fc95,"Morgan,",St. Clair;,1812,f,,20.40280975837244
njp.32101064710914,"Pickering, Ellen,",The quiet husband,1840,f,mixed,20.396432478537392
mdp.39015078783472,"Lee, Tom,",Greenfly / | $c: Tom Lee.,2009,m,mixed,20.38909183586781
nyp.33433074880653,,"Magdalen Stafford; or, A gleam of sunshine on a rainy day",1857,u,,20.37842739675779
hvd.hnncap,"Gore,",The Tuileries,1831,f,,20.37756720958328
mdp.39015040339635,,"The Vintage book of Indian writing, 1947-1997 / | $c: edited by Salman Rushdie and Elizabeth West.",1997,u,,20.376558806748715
mdp.39015039731610,"Mottram, R. H. (Ralph Hale),","The boroughmonger, | $c: by R.H. Mottram.",1929,m,,20.37227654829302
mdp.39015058264964,"Baricco, Alessandro,",Lands of glass / | $c: Alessandro Baricco.,2003,m,high_male,20.36881127617392
uiuo.ark:/13960/t02z1vk3v,"Saunders, John,",Guy Waterman,1864,m,high_female,20.36504340299875
mdp.39015050533119,"Ekineh, Aliyi.",JuJu moon : | a miracle in Africa / | $c: by Aliyi Ekineh.,2001,u,high_female,20.36369560347812
mdp.39015013958775,"Clarke, Arthur C. (Arthur Charles),",The lost worlds of 2001 | science fiction.,1973,m,high_male,20.36245163917736
uc1.$b795525,"Royde-Smith, Naomi.","The mother, | $c: by Naomi Royde-Smith.",1931,f,,20.35002035002035
uc1.b3435455,"Khanna, Balraj.","Nation of fools, or, Scenes from Indian life / | $c: Balraj Khanna.",1984,u,high_male,20.349847800096665
uiuo.ark:/13960/t2891sd44,Rita.,The laird o' Cockpen,1891,u,,20.326705595387686
mdp.39015030851821,"Blair, Anna.",A tree in the west / | $c: Anna Blair.,1976,f,mixed,20.29199107152393
mdp.39015008984356,"Ibn Ṭufayl, Muḥammad ibn ʻAbd al-Malik,","The history of Hayy ibn Yaqzan / | $c: by Abu Bakr ibn Tufail ; translated from the Arabic by Simon Ockley ; revised, with an introduction by A.S. Fulton.",1929,u,high_male,20.289463005545787
mdp.39015063338175,"Schonstein, Patricia.",A quilt of dreams / | $c: Patricia Schonstein.,2006,f,high_male,20.287657629760925
wu.89087899555,"Beresford, J. D.",The Jervaise comedy,1919,m,,20.27472248973592
mdp.39015001183808,"Bielski, Nella.",Oranges for the son of Alexander Levy / | $c: Nella Bielski ; translated from the French by John Berger and Lisa Appignanesi.,1982,f,mixed,20.26547775863816
uiuo.ark:/13960/t6n01t845,"Wood, Henry,",Oswald Cray,1864,f,,20.264937392009212
mdp.39015054265841,"Smith, Iain Crichton,","The red door : | the complete English stories, 1949-76 / | $c: Iain Crichton Smith ; edited with an introduction by Kevin MacNeil.",2001,u,mixed,20.260796978709955
inu.39000002341704,"Freeling, Nicolas.",This is the castle / | $c: by Nicolas Freeling.,1968,m,,20.24624495425614
mdp.39015063512332,"Dougall, L.",Beggars all,1893,u,,20.23267577137076
mdp.39015019159790,"Mrs. Burton, Katherine (Kurz),","Paradise planters, | the story of Brook farm,",1939,f,mixed,20.21941813007826
mdp.39015022430071,"Nielsen, Carl.",The world is all islands. | $c: Translated by H. H. Lyon.,1957,m,high_male,20.21750667598918
mdp.39015061446343,"Hill, Susan,",The pure in heart / | $c: Susan Hill.,2005,f,mixed,20.216087513196612
