htid,author,title,year,authgender,female_category,female_fraction
mdp.39015027228645,"Townsend, John Rowe.",Hell's edge.,1963,m,mixed,0.3648234104708123
inu.30000026041230,"Hodson, Peregrine.",A circle round the sun : | a foreigner in Japan / | $c: Peregrine Hodson.,1992,u,mixed,0.3647772787959704
inu.30000027099419,"Hattersley, Roy.",In that quiet earth / | $c: Roy Hattersley.,1991,m,mixed,0.3647500397698134
uc1.32106014703505,"Forster, E. M. (Edward Morgan),",Collected short stories of E.M. Forster,1948,m,mixed,0.364736780327484
inu.30000110626268,"Cavendish, Dominic.",Orwell : | a celebration / | $c: adapted by Dominic Cavendish ; [adapted from the writings of] George Orwell.,2009,m,mixed,0.3647058823529411
mdp.39015064888988,"King, Danny,",Milo's run / | $c: Danny King.,2006,m,mixed,0.3646753246753247
mdp.39015059246754,"Jarrett-Macauley, Delia,","Moses, Citizen & me / | $c: Delia Jarrett-Macauley.",2005,f,mixed,0.3646657426164836
inu.32000009258676,"Priestley, J. B. (John Boynton),",London end.,1968,m,mixed,0.3646329526916803
uiuo.ark:/13960/t81j9x38m,"King, Richard Ashe,",A Geraldine,1893,m,mixed,0.3645978390009323
uiuo.ark:/13960/t53f5894r,"King, Richard Ashe,",A Geraldine,1893,m,mixed,0.3645978390009323
uc2.ark:/13960/t28916t30,"Belcher, Edward,",Horatio Howard Brenton,1856,m,mixed,0.364588173915916
uc2.ark:/13960/t3tt4mw5c,"Belcher, Edward,",Horatio Howard Brenton,1856,m,mixed,0.364588173915916
uc2.ark:/13960/t2c82659b,"Watson, William Davy,",Trevethlan,1848,m,mixed,0.3645581517750133
uc2.ark:/13960/t46q1vc8h,"Watson, William Davy,",Trevethlan,1848,m,mixed,0.3645581517750133
uiuo.ark:/13960/t1hh7637r,"Watson, William Davy,",Trevethlan,1848,m,mixed,0.3645581517750133
mdp.39015065780994,"Marryat, Frederick,",The novels of Captain Marryat,1896,m,mixed,0.3645026023827967
inu.32000001871153,"Cholmondeley, Mary,",Red pottage,1899,f,mixed,0.3644800439887032
mdp.39015063913514,"Byron, Medora Gordon.",The Englishman,1812,f,mixed,0.3644681171498052
mdp.39015063913563,"Byron, Medora Gordon.",The Englishman,1812,f,mixed,0.3644681171498052
mdp.39015063913555,"Byron, Medora Gordon.",The Englishman,1812,f,mixed,0.3644681171498052
mdp.39015063913548,"Byron, Medora Gordon.",The Englishman,1812,f,mixed,0.3644681171498052
mdp.39015063913530,"Byron, Medora Gordon.",The Englishman,1812,f,mixed,0.3644681171498052
mdp.39015063913522,"Byron, Medora Gordon.",The Englishman,1812,f,mixed,0.3644681171498052
mdp.39015039648061,"Haggard, H. Rider",Dawn,1884,m,mixed,0.3644035147613059
mdp.39015039648053,"Haggard, H. Rider",Dawn,1884,m,mixed,0.3644035147613059
mdp.39015039648079,"Haggard, H. Rider",Dawn,1884,m,mixed,0.3644035147613059
uc1.32106014321092,"Marshall, Sybil",A late lark singing / | $c: Sybil Marshall,1997,f,mixed,0.3642316017316017
mdp.39015006995925,"Oliphant,",The Ladies Lindores,1883,f,mixed,0.3642192934527946
mdp.39015006995917,"Oliphant,",The Ladies Lindores,1883,f,mixed,0.3642192934527946
mdp.39015006995933,"Oliphant,",The Ladies Lindores,1883,f,mixed,0.3642192934527946
uiuo.ark:/13960/t1fj2sc4r,"Crommelin, May.",Bay Ronald,1893,f,mixed,0.364214055866526
uiuo.ark:/13960/t3jw8pr16,"Crommelin, May.",Bay Ronald,1893,f,mixed,0.364214055866526
uiuo.ark:/13960/t3708ct42,"Crommelin, May.",Bay Ronald,1893,f,mixed,0.364214055866526
mdp.39015048881778,"MacGill, Patrick,",Moleskin Joe / | $c: by Patrick MacGill.,1983,m,mixed,0.3641320478267091
uc2.ark:/13960/t6g16076f,"Marriott, Charles,",An order to view;,1922,m,mixed,0.3640893515124598
uc1.$b242926,"Hanley, James,",The closed harbor.,1952,m,mixed,0.3639959215630418
uc1.32106014882739,"Valenzuela, Luisa,",Symmetries : | stories / | $c: by Luisa Valenzuela ; translated from the Spanish by Margaret Jull Costa,1998,f,mixed,0.3639751552795031
mdp.39015077135997,"Campbell, Alastair,",All in the mind / | $c: Alastair Campbell.,2008,u,mixed,0.3639247474206214
inu.30000011907551,"(Pelham Grenville), Wodehouse, P. G.",Money in the bank : | [a novel] / | $c: by P. G. Wodehouse.,1946,m,mixed,0.3638953250179291
uc2.ark:/13960/t81j98k7j,"Lemonnier, Camille,",Birds and beasts,1911,f,mixed,0.3638407367280607
mdp.39015063963832,"Quin, Shirland.","I sing of Honolulu, | $c: by Shirland Quin.",1935,u,mixed,0.3638284917983682
mdp.39015049687877,"Freeling, Nicolas,",Some day tomorrow / | $c: Nicolas Freeling.,2000,m,mixed,0.3638266068759342
