htid,author,title,year,authgender,female_category,intl_subcity_intensity
njp.32101066454925,"Blenkinsop, Adam.","Paddiana, or, Scraps and sketches of Irish life, present and past",1847,m,,28.245927878730814
mdp.39015030701158,"Kersh, Gerald,",Neither man nor dog; | short stories.,1946,m,high_male,28.24030325741036
mdp.39015065135637,"Lengyel, József,",Prenn drifting: | a novel; | $c: translated from the Hungarian by Ilona Duczynska.,1966,u,high_male,28.239862330671137
uc1.b3327127,"Rowcroft, Charles,",The man without a profession,1844,m,,28.238901103334207
njp.32101066454982,"Blessington, Marguerite,",The lottery of life,1842,f,mixed,28.237951807228917
uc1.b4936747,"Tournier, Michel.",The fetishist and other stories / | $c: Michel Tournier ; translated from the French by Barbara Wright.,1983,m,,28.23381783959009
uc1.b4186426,"Stewart, R. J. (Robert J),",Magical tales : | the story-telling tradition / | $c: R. J. Stewart.,1990,m,,28.23352260250337
inu.32000009191745,"Bates, H. E. (Herbert Ernest),",My Uncle Silas / | $c: stories by H.E. Bates ; drawings by Edward Ardizzone.,1947,m,high_male,28.23118776306334
uiuo.ark:/13960/t0vq3775c,"Baring-Gould, S.",Kitty alone,1894,m,,28.22334070276118
mdp.39015063514494,"Hope, Anthony,",Comedies of courtship,1896,m,,28.223220012828737
uiuo.ark:/13960/t2k64rc26,Blue Tunic,From the peasantry to the peerage,1860,u,,28.213292491233727
uc1.$b794471,"Collins, Norman,","London belongs to me, | $c: by Norman Collins ...",1945,m,,28.21062721627844
uc1.b3327617,"Pryce, D. Hugh",Goddesses three,1896,m,,28.20693634207321
njp.32101064787946,"Berkeley, Grantley F.","Sandron hall, or, The days of Queen Anne",1840,u,mixed,28.201725282017257
mdp.39015016435409,"Kennedy, Margaret,",The heroes of Clone.,1957,f,,28.197844431447905
njp.32101068974011,"Mallarmé, Camille.",The house of the enemy,1922,f,high_female,28.19482624938324
dul1.ark:/13960/t74t78p1n,"Collins, Mortimer,",Transmigration,1874,m,,28.18913027136736
uc2.ark:/13960/t2j67bc22,"Blessington, Marguerite,",The memoirs of a femme de chambre,1846,f,high_female,28.18614725036716
mdp.39015060123414,"Weldon, Fay.",Mantrapped / | $c: Fay Weldon.,2004,f,,28.18432548869607
uiuo.ark:/13960/t3kw5pr97,"Bray,","The Talba, or, Moor of Portugal",1830,f,mixed,28.18071252706832
uiuo.ark:/13960/t4mk6z79p,"Roche, Regina Maria,",Bridal of Dunamore;,1823,f,high_female,28.18068794032325
uiuo.ark:/13960/t7wm20x0v,"Collins, Wilkie,",The moonstone,1868,m,mixed,28.17211940079127
uiuo.ark:/13960/t57d3gt1n,"Praed, Campbell,",Nadine,1882,f,,28.16901408450704
uiuo.ark:/13960/t76t1804g,"Lee, Holme,",Kathie Brande,1856,f,high_female,28.16859646261731
uiuo.ark:/13960/t18k7w02s,"Murray, David Christie,",Joseph's coat,1881,m,,28.166090991298155
hvd.32044022677207,"Maberly,",Emily,1840,f,,28.16248094890995
